Аббас	عباس	Лев (нахмуренный)
Абд	عبد	Раб, слуга
Абдуллах	عبد الله	Раб Аллаха (Бога)
Абд аль-...	عبد ال	см. Абд
Абид	عابد	Поклоняющийся
Абу	أبو	Отец
Адам	آدم	Темнокожий, смуглый
Адиль	عادل	Справедливый
Азам	عزام	Решившийся, решительный
Азиз	عزيز	Сильный; милый, дорогой
Азим	عظيم	Великолепный
Акиф	عاكف	Поклоняющийся в уединении
Акиль	عقيل	Разумный
Акрам	أكرم	Самый щедрый
Али	علي	Высокий, возвышенный
Алим	عالم	Знающий, сведущий; ученый
Амин	أمين	Верный, честный, безопасный
Амир	أمير	принц, князь, начальник
Анас	أنس	Приветливость, радость
Анвар	أنور	Светящийся, сияющий
Ариф	عارف	Знающий
Асад	أسد	Лев
Асаф	عساف	Притеснитель
Аскар	عسكر	Армия, войско, солдаты
Ахмад	أحمد	Похвальный
Аюб	أيوب	Преследуемый (Аюб )
Имя	арабск.	Значение
Абда	عبدة	Рабыня
Авсаф	أوصاف	Описания
Адиля	عادلة	Справедливая
Аза	عزة	Детеныш газели, антилопы
Азиза	عزيزة‎‎	Редкая, ценная, милая, дорогая
Азра	عذراء	Девственная
Аида	عائدة	Возвращающаяся
Аиша	عائشة	Живая, живущая
Айна	عيناء	С большими глазами, взор, взгляд
Алима	عالمة‎‎	Знающая, сведущая, ученая
Алия	علية	Высокая, возвышенная
Амаль	أمل	Надежда
Аман	أمان	Безопасность, пощада, спокойствие
Амани	أماني	Желания
Амина	أمينة	Верная, безопасная, благополучная
Аниса	أنيسة	Дружелюбная, ласковая
Ариба	أريبة	Способная, ловкая, искусная
Аридж	أريج	Благоуханная, ароматная
Асаля	أصالة	Родовитость, твердость
Асиля	أصيلة	Благородная, настоящая
Асия	آسية	Утешающая, лечащая
Асма	أسماء	Красивая, возвышенная
Атика	عاتكة	Старая, давняя, освобожденная
Афифа	عفيفة	Добродетельная, скромная
Ахалиль	أهاليل	Дожди
Аят	آيات	Знамения, чудеса; аяты
Бади	بادي	Ясный, очевидный; житель пустыни
Бадр	بدر	Полная луна
Баррак	براك	Благословенный
Басиль	باسل	Храбрый, смелый, лев
Басим	باسم	Улыбающийся, смеющийся
Басир	بصير	Зрячий, различающий, разумный
Батталь	بتال	Отделяющий, отрезающий (меч)
Баха	بهاء	Красота, великолепие, блеск
Бахидж	بهيج	Радостный, светлый, великолепный
Бахт	بخت	Счастье, удача
Башир	بشير	Вестник радости
Билял	بلال	Влага, влажность
Бурхан	برهان	Доказательство, довод, аргумент
Бадиа	بديعة	Изумительная; красноречивая
Бадия	بادية	Пустыня; бедуинка; ясная, очевидная
Бадрия	بدرية	Подобная полной луне, лунообразная
Байина	بينة	Доказательство, свидетельство
Бакр	بكر	Молодой верблюд
Балькис	بلقيس	Имя царицы Савской
Бараа	براءة	Невиновность, оправдание
Бариа	بارعة	Умелая, искусная
Басма	بسمة	Улыбка
Батуль	بتول	Дева, девственница
Бахира	باهرة	Блестящая, превосходная, красивая
Баян	بيان	Ясность, очевидность, разъяснение
Бушра	بشرى	Радостная весть
Ваддах	وضاح	Яркий, ясный, очевидный
Ваджди	وجدي	Волнительный, возбужденный
Ваджих	وجيه	Знатный, серьёзный
Вадиг	وديع	Скромный, мягкий, простой
Вадид	وديد	Любящий, приветливый
Вазир	وزير	Министр, визирь
Ваиль	وائل	Ищущий убежище
Вакиг	وكيع	Твердый, крепкий
Ваккас	وقاص	Разбивающий
Вали	ولي	Близкий, родной, святой
Валид	وليد	Ребенок, дитя, мальчик
Вамид	وميض	Сверкание (молнии)
Васик	واثق	Уверенный
Василь	واصل	Прибывающий, приходящий
Васим	وسيم	Красивый, миловидный
Васиф	واصف	Описывающий
Вафи	وافي	Верный, законченный
Вафик	وفيق	Успешный, счастливый
Вахадж	وهاج	Горящий, яркий, ослепительный
Вахб	وهب	Дарение, подарок
Вахид	وحيد	Единственный
Висам	وسام	Орден
Валия	ولية	Близкая, родная, святая
Валя	ولاء	Дружба, родство, преданность
Варда	وردة	Роза
Вариф	وريف	Длинная тень
Варка	ورقاء	Голубь, волчица
Васаиф	وصائف	Молодые девушки
Васан	وسن	Сонливость
Василя	وسيلة	Средство, способ, орудие
Васмия	وسمية	Знаковая
Ватин	وتين	Яремная вена
Ватфа	وطفاء	Густобровая
Вафия	وفية	Верная
Виам	وئام	Взаимопонимание, согласие, мир
Видад	وداد	Любовь, симпатия
Видждан	وجدان	Ощущение, совесть, душа, сердце
Видьян	وديان	Долины
Вилая	ولاية	Вилаят; управление, провинция
Висак	وثاق	Веревка, оковы, узы
Висаль	وصال	Связь, любовная связь
Вуджуд	وجود	Бытие, существование, наличие
Вуруд	ورود	Прибытие, водопой; розы
Вугуд	وعود	Обещания
Гаданфар	غضنفر	Одно из имен льва
Газван	غزوان	Человек, ведущий много сражений
Гази	غازي	Совершающий нападение, завоеватель, воин
Гайс	غيث	Дождь
Гали	غالية	Дорогой, драгоценный, любимый
Галиб	غالب	Побеждающий, преобладающий, победитель
Га́ни	غاني	Богатый, зажиточный
Ганим	غانم	Успешный
Ганнам	غنام	Овчар; захвативший много трофеев
Гариб	غريب	Чужак, странный
Гасик	غاسق	Сумерки, тьма
Гассан	غسان	Расцвет молодости
Гатафан	غطفان	Радостный; хорошая жизнь
Гафур	غفور	Прощающий
Гияс	غياث	Помощь, спасение
Гада	غادة	Молодая девушка, красавица
Гади	غدي	Завтрашний, грядущий
Гадир	غدير	Лужа, небольшой пруд, речка
Газаль	غزل	Ухаживание, стихотворение
Газаля	غزالة	Газель
Гайда	غيداء	Юная, молодая, нежная
Галия	غالية	Дорогая, драгоценная, любимая
Галя	غلا	Дороговизна; любовь
Гарам	غرام	Любовь, сильное увлечение, страсть
Гарра	غراء	Превосходная, прекрасная, славная, благородная
Гинва	غنوة	Песня
Гуруб	غروب	Заход (солнца)
Гусун	غصون	Ветки
Гуфран	غفران	Прощение
Гуюм	غيوم	Тучи
Дави	ضاوي	Светлый; худощавый, тонкий
Дагман	دغمان	Черный
Далиль	دليل	Путеводитель, доказательство
Дани	داني	Близкий
Даниял	دنيال	Имя пророка Даниила
Дари	ضاري	Дикий, свирепый, лютый
Дари	داري	Знающий, сведущий
Давуд	داود	Имя пророка Давида
Дахдах	دحداح	Приземистый, коренастый
Дахил	دخيل	Пришелец, посторонний
Джабаль	جبل	Гора
Джабир	جابر	Вправляющий кость, костоправ, улучшающий
Джавад	جواد	Щедрый; породистый конь
Джад	جاد	Щедрость; дождь
Джаза	جزاء	Возмездие, награда; наказание
Джазим	جازم	Решительный, уверенный
Джалал	جلال	Величие, блеск, великолепие
Джалил	جليل	Большой, огромный, великий, великолепный, уважаемый
Джамал	جمال	Красота
Джамиль	جميل	Красивый
Джамиг	جامع	Собирающий, соединяющий
Джандаль	جندل	Камень, скала; сила, воля
Джарван	جروان	Львенок
Джанах	جناح	Крыло; покровительство
Джарваль	جرول	Земля с камнями
Джарир	جرير	Веревка, уздечка
Джармуз	جرموز	Маленький водоем
Джасим	جاسم	Большой, огромный
Джасир	جاسر	Смелый, отважный
Джафар	جعفر	Речка, ручеек, поток
Джахм	جهم	Мрачный, хмурый; лев
Джихад	جهاد	Джихад, усердие
Джавхар	جوهر	Вещество; драгоценности
Джудан	جدعان	Смелый, энергичный
Джума	جمعة	Пятница
Джундуб	جندب	Кузнечик
Динар	دينار	Название монеты
Дирбас	درباس	Лев; сторожевая собака
Диргам	ضرغام	Лев
Давия	ضاوية	Светлая; худощавая
Давха	دوحة	Большое дерево
Далиля	دليلة	Руководительница, указывающая
Далия	داليا	Георгин, виноградная лоза
Дана	دانة	Большая жемчужина
Дания	دانية	Близкая
Дария	دارية	Знающая, сведущая
Дахма	دهماء	Черная
Джабира	جابرة	Вправляющая кость; улучшающая
Джавахир	جواهر	Сокровища, драгоценности
Джадва	جدوى	Подарок, польза, выгода
Джади	جادي	Растение шафрана
Джазаба	جذابة	Притягательная, привлекательная
Джалиля	جليلة	Великая, славная, уважаемая
Джаля	جلاء	Ясность, очевидность, уход
Джамиля	جميلة	Красивая, прекрасная
Джана	جنى	Свежие плоды, фрукты
Джанан	جنان	Сердце, душа
Джанна	جنة	Сад
Джаннат	جنات	Сады
Джария	جارية	Милость, красавица, солнце, ветер, корабль, глаз
Джавза	جوزة	Орех
Джахиза	جهيزة	Волчица
Джайда	جيداء	Длинношеяя
Джинан	جنان	Сады
Джавхара	جوهرة	Драгоценность, сокровища
Джуд	جود	Щедрость; достоинства
Джульнар	جلنار	Гульнар – цветок граната
Джумана	جمانة	Жемчужина
Джури	جوري	Дамасская роза
Джухейна	جهينة	Последняя часть ночи; темнота
Дима	ديمة	Легкий дождь, без грозы и молний
Дуа	دعاء	Зов, мольба, просьба, молитва
Дуджа	دجى	Середина ночи
Дуджана	دجانة	Сильный дождь
Дунья	دنيا	Свет, мир; ближайшая
Дурар	درر	Жемчужины, перлы
Дурия	درية	Яркая, сверкающая, блестящая
Духа	ضحى	Утро
Захи	زاهي	Цветущий, яркий
Захид	زاهد	Аскет; набожный
Захир	زاهر	Блестящий, яркий, цветущий, прекрасный
Заглюль	زغلول	Дитя, ребенок; финик, птенец, молодой голубь
Заид	زايد	Прибавляющий
Заир	زائر	Посетитель
Закария	زكريا	Захария
